Order_ID,Order_Date,Customer_Zone,Vehicle_Type,Distance_km,Packages,Vehicle_Capacity,Expected_Time_min,Actual_Time_min,Delivery_Cost,On_Time,Distance_km_Normalized,Packages_Normalized,Actual_Time_min_Normalized,Delivery_Cost_Normalized
ORD0018,2026-07-08,East,Mini Truck,17.3,9.0,15,114,109.0,316.52,1,0.4068250250920041,0.29493087557603687,0.47668393782383417,0.44768928194367286
ORD0019,2026-07-24,West,Mini Truck,7.4,9.0,15,76,70.0,219.62,1,0.14185346269655405,0.29493087557603687,0.27461139896373055,0.24359099250428495
ORD0020,2026-07-03,East,Truck,8.4,18.0,50,87,92.0,287.44,0,0.16861826697892274,0.6267281105990783,0.38860103626943004,0.3864387323368885
ORD0021,2026-07-22,East,Truck,4.7,15.0,50,60,71.0,235.86,0,0.06958849113415859,0.5161290322580645,0.27979274611398963,0.2777969390522278
ORD0022,2026-07-21,North,Van,25.1,4.0,25,122,144.0,397.29,0,0.6155904984944798,0.11059907834101383,0.6580310880829016,0.6178133153597655
ORD0023,2026-07-02,East,Mini Truck,6.3,15.0,15,68,88.0,217.27,0,0.11241217798594846,0.5161290322580645,0.36787564766839376,0.2386412403868179
ORD0024,2026-07-24,Central,Mini Truck,27.3,2.0,15,143,165.0,422.74,0,0.674473067915691,0.03686635944700461,0.7668393782383419,0.6714180776531855
ORD0025,2026-07-12,East,Van,6.6,15.0,25,67,92.0,186.85,0,0.12044161927065909,0.5161290322580645,0.38860103626943004,0.17456827893432889
ORD0026,2026-07-30,North,Van,28.0,8.0,25,145,161.0,421.1,0,0.6932084309133489,0.25806451612903225,0.7461139896373057,0.6679637825584426
ORD0027,2026-07-06,Central,Truck,17.3,8.0,50,85,86.0,295.48,0,0.4068250250920041,0.25806451612903225,0.35751295336787564,0.40337320341111643
ORD0028,2026-07-02,South,Van,12.6,17.0,25,102,99.0,307.43,0,0.28103044496487123,0.5898617511520737,0.42487046632124353,0.4285432194978108
ORD0029,2026-07-28,East,Mini Truck,36.6,12.0,15,201,210.0,578.74125,0,0.9233857477417197,0.4055299539170507,1.0,1.0
ORD0030,2026-07-21,North,Van,33.5,19.0,25,178,161.0,565.98,1,0.8404148544663768,0.663594470046083,0.7461139896373057,0.9731212662940311
ORD0031,2026-07-01,South,Van,17.7,10.0,25,128,132.0,304.75,0,0.4175309468049515,0.3317972350230415,0.5958549222797928,0.4228983958064015
ORD0032,2026-07-12,South,Truck,4.8,9.0,50,54,65.0,190.97,0,0.07226497156239545,0.29493087557603687,0.24870466321243523,0.18324614222112226
ORD0033,2026-07-26,West,Van,20.7,5.0,25,91,98.0,327.51,0,0.49782535965205754,0.14746543778801843,0.41968911917098445,0.4708372716334445
ORD0034,2026-07-22,Central,Van,6.3,6.0,25,51,50.0,169.15,1,0.11241217798594846,0.18433179723502305,0.17098445595854922,0.1372871672410661
ORD0035,2026-07-29,East,Truck,19.2,20.0,50,138,162.0,419.18,0,0.45767815322850447,0.7004608294930875,0.7512953367875648,0.6639197297645972
ORD0036,2026-07-12,North,Truck,3.0,2.0,50,47,41.0,103.97,1,0.024088323854131816,0.03686635944700461,0.12435233160621761,0.0
ORD0037,2026-07-25,West,Van,9.0,13.0,25,81,98.0,242.08,0,0.18467714954834394,0.4423963133640553,0.41968911917098445,0.29089798508228965
ORD0038,2026-07-17,Central,Truck,10.9,6.0,50,83,74.0,247.56,1,0.23553027768484447,0.18433179723502305,0.29533678756476683,0.30244038576472354
ORD0039,2026-07-27,West,Truck,10.2,5.0,50,59,103.0,211.18,0,0.21679491468718637,0.14746543778801843,0.44559585492227977,0.2258140104313393
ORD0040,2026-07-27,Central,Truck,23.4,1.0,50,109,119.0,363.37,0,0.570090331214453,0.0,0.5284974093264249,0.5463683826684955
ORD0041,2026-07-31,Central,Van,5.4,6.0,25,38,41.0,169.42,0,0.08832385413181668,0.18433179723502305,0.12435233160621761,0.13785586216520057
ORD0042,2026-07-10,East,Truck,2.1,6.0,50,32,53.0,166.62,0,0.0,0.18433179723502305,0.18652849740932642,0.131958285174176
ORD0043,2026-07-28,Central,Mini Truck,25.2,16.0,15,151,159.0,463.64,0,0.6182669789227166,0.5529953917050692,0.7357512953367875,0.757564827272081
ORD0044,2026-07-28,West,Truck,10.6,4.0,50,69,97.0,222.15,0,0.22750083640013385,0.11059907834101383,0.41450777202072536,0.24891987457117506
ORD0045,2026-07-16,Central,Mini Truck,15.4,11.0,15,104,119.0,333.34,0,0.3559718969555036,0.3686635944700461,0.5284974093264249,0.48311686943975646
ORD0046,2026-07-15,East,Van,16.1,9.0,25,91,100.0,303.79,0,0.3747072599531617,0.29493087557603687,0.43005181347150256,0.4208763694094788
ORD0047,2026-07-30,East,Van,33.3,3.0,25,150,164.0,456.65,0,0.8350618936099029,0.07373271889400922,0.7616580310880829,0.7428419475694873
ORD0048,2026-07-30,West,Truck,22.2,19.0,50,141,169.0,423.55,0,0.5379725660756105,0.663594470046083,0.7875647668393783,0.6731241624255893
ORD0049,2026-07-15,South,Truck,17.8,8.0,50,99,113.0,304.99,0,0.42020742723318844,0.25806451612903225,0.49740932642487046,0.4234039024056322
ORD0050,2026-07-30,South,Mini Truck,5.1,5.0,15,56,68.0,122.44,0,0.08029441284710605,0.14746543778801843,0.26424870466321243,0.038902945365794576
ORD0051,2026-07-19,Central,Van,10.3,4.0,25,62,78.0,210.55,0,0.21947139511542327,0.11059907834101383,0.3160621761658031,0.22448705560835877
ORD0052,2026-07-12,North,Truck,13.6,6.0,50,79,90.0,238.46,0,0.3077952492472399,0.18433179723502305,0.37823834196891193,0.2832732605438935
ORD0053,2026-07-23,Central,Truck,6.1,2.0,50,49,63.0,145.07,0,0.10705921712947473,0.03686635944700461,0.23834196891191708,0.0865680051182543
ORD0054,2026-07-20,West,Mini Truck,15.7,20.0,15,112,121.0,359.43,0,0.36400133824021413,0.7004608294930875,0.538860103626943,0.5380696493311252
ORD0055,2026-07-25,West,Van,11.7,11.0,25,75,83.0,260.36,0,0.2569421211107394,0.3686635944700461,0.34196891191709844,0.32940073772369327
ORD0056,2026-07-03,West,Mini Truck,11.9,4.0,15,65,60.0,235.7,1,0.26229508196721313,0.11059907834101383,0.22279792746113988,0.27745993465274066
ORD0057,2026-07-05,West,Truck,36.4,15.0,50,193,210.0,568.25,0,0.9180327868852459,0.5161290322580645,1.0,0.9779025162117545
ORD0058,2026-07-19,West,Van,7.9,6.0,25,50,35.0,201.77,1,0.1552358648377384,0.18433179723502305,0.09326424870466321,0.205993939186503
ORD0059,2026-07-07,East,Mini Truck,6.1,17.0,15,81,92.0,269.38,0,0.10705921712947473,0.5898617511520737,0.38860103626943004,0.34839936074477973
ORD0060,2026-07-21,South,Truck,29.7,6.0,50,142,154.0,455.98,0,0.7387085981933758,0.18433179723502305,0.7098445595854922,0.741430741646635
ORD0061,2026-07-09,West,Mini Truck,3.7,19.0,15,69,80.0,193.85,0,0.0428236868517899,0.663594470046083,0.32642487046632124,0.18931222141189044
ORD0062,2026-07-07,North,Van,18.4,2.0,25,91,89.0,272.42,1,0.43626630980260955,0.03686635944700461,0.37305699481865284,0.35480244433503505
ORD0063,2026-07-18,North,Truck,20.3,15.0,50,118,103.0,382.39,1,0.4871194379391101,0.5161290322580645,0.44559585492227977,0.586429780657527
ORD0064,2026-07-04,North,Truck,13.75,11.0,50,76,80.0,217.73,0,0.3118099698895952,0.3686635944700461,0.32642487046632124,0.23961012803534332
ORD0065,2026-07-25,North,Mini Truck,2.7,8.0,15,50,42.0,110.62,1,0.016058882569421215,0.25806451612903225,0.12953367875647667,0.014006745353683497
ORD0066,2026-07-28,East,Van,28.4,19.0,25,162,154.0,513.66,1,0.7039143526262964,0.663594470046083,0.7098445595854922,0.8629208276617423
ORD0067,2026-07-14,North,Van,11.0,13.0,25,84,103.0,259.47,0,0.2382067581130813,0.4423963133640553,0.44559585492227977,0.3275261507515462
ORD0068,2026-07-18,West,Van,11.1,12.0,25,88,118.0,264.94,0,0.24088323854131818,0.4055299539170507,0.5233160621761658,0.3390474886590121
ORD0069,2026-07-26,Central,Van,12.4,5.0,25,82,81.0,263.46,1,0.2756774841083975,0.14746543778801843,0.3316062176165803,0.33593019796375617
ORD0070,2026-07-09,North,Truck,21.6,6.0,50,114,126.0,344.29,0,0.5219136835061894,0.18433179723502305,0.5647668393782384,0.5061806080296565
ORD0071,2026-07-26,East,Van,6.5,4.0,25,48,51.0,127.36,0,0.11776513884242223,0.11059907834101383,0.17616580310880828,0.049265830650023566
ORD0072,2026-07-21,East,Van,8.4,19.0,25,84,83.0,259.83,1,0.16861826697892274,0.663594470046083,0.34196891191709844,0.3282844106503921
ORD0073,2026-07-02,North,Mini Truck,7.0,20.0,15,79,95.0,278.26,0,0.13114754098360656,0.7004608294930875,0.40414507772020725,0.3671031049163149
ORD0074,2026-07-20,Central,Mini Truck,29.6,1.0,15,140,168.0,433.12,0,0.7360321177651389,0.0,0.7823834196891192,0.6932812380699126
ORD0075,2026-07-28,North,Van,8.4,20.0,25,77,74.0,288.77,1,0.16861826697892274,0.7004608294930875,0.29533678756476683,0.3892400814076252
ORD0076,2026-07-15,East,Van,12.1,17.0,25,97,107.0,286.58,0,0.26764804282368687,0.5898617511520737,0.46632124352331605,0.38462733368964525
ORD0077,2026-07-28,South,Truck,9.0,12.0,50,69,94.0,253.8,0,0.18467714954834394,0.4055299539170507,0.39896373056994816,0.3155835573447213
ORD0078,2026-07-07,West,Van,17.4,15.0,25,119,139.0,278.26,0,0.4095015055202409,0.5161290322580645,0.6321243523316062,0.3671031049163149
ORD0079,2026-07-12,East,Van,6.7,1.0,25,42,60.0,124.01,0,0.12311809969889595,0.0,0.22279792746113988,0.04220980103576197
ORD0080,2026-07-29,North,Van,7.8,14.0,25,68,94.0,231.56,0,0.1525593844095015,0.4792626728110599,0.39896373056994816,0.2687399458160114
ORD0081,2026-07-08,West,Van,5.4,6.0,25,53,78.0,206.31,0,0.08832385413181668,0.18433179723502305,0.3160621761658031,0.21555643902195004
ORD0082,2026-07-15,North,Mini Truck,34.2,5.0,15,163,193.0,476.9,0,0.8591502174640349,0.14746543778801843,0.9119170984455959,0.7854940668795761
ORD0083,2026-07-03,North,Van,4.9,11.0,25,72,81.0,137.17,0,0.07494145199063233,0.3686635944700461,0.3316062176165803,0.06992841289357767
ORD0084,2026-07-14,South,Truck,33.5,4.0,50,147,159.0,515.57,0,0.8404148544663768,0.11059907834101383,0.7357512953367875,0.8669438176806199
ORD0085,2026-07-17,West,Truck,4.2,13.0,50,58,66.0,211.82,0,0.056206088992974246,0.4423963133640553,0.2538860103626943,0.22716202802928778
ORD0086,2026-07-04,West,Van,14.4,11.0,25,102,105.0,282.38,0,0.32920709267313486,0.3686635944700461,0.45595854922279794,0.3757809682031083
ORD0087,2026-07-18,South,Van,24.0,3.0,25,115,103.0,358.18,1,0.5861492137838742,0.07373271889400922,0.44559585492227977,0.5354368024601321
ORD0088,2026-07-08,East,Van,12.3,1.0,25,63,69.0,177.98,0,0.2730010036801606,0.0,0.2694300518134715,0.15588559753776157
ORD0089,2026-07-04,North,Truck,31.0,6.0,50,146,210.0,465.22,0,0.773502843760455,0.18433179723502305,1.0,0.7608927457170164
ORD0090,2026-07-02,Central,Van,8.9,18.0,25,73,73.0,298.95,1,0.1820006691201071,0.6267281105990783,0.29015544041450775,0.4106819863249933
ORD0091,2026-07-30,North,Van,29.6,10.0,25,163,176.0,456.63,0,0.7360321177651389,0.3317972350230415,0.8238341968911918,0.7427998220195514
ORD0092,2026-07-06,North,Truck,15.1,5.0,50,85,93.0,288.13,0,0.34794245567079296,0.14746543778801843,0.39378238341968913,0.3878920638096767
ORD0093,2026-07-22,East,Van,9.7,10.0,25,71,97.0,242.99,0,0.203412512546002,0.3317972350230415,0.41450777202072536,0.2928146976043727
ORD0094,2026-07-10,North,Van,14.6,12.0,25,82,87.0,316.65,0,0.3345600535296086,0.4055299539170507,0.3626943005181347,0.4479630980182561
ORD0095,2026-07-04,South,Van,21.2,2.0,25,96,126.0,309.29,0,0.5112077617932419,0.03686635944700461,0.5647668393782384,0.4324608956418486
ORD0096,2026-07-22,South,Van,5.4,13.0,25,72,44.0,188.93,1,0.08832385413181668,0.4423963133640553,0.13989637305699482,0.17894933612766148
ORD0097,2026-07-29,West,Mini Truck,8.7,8.0,15,69,95.0,161.23,0,0.17664770826363332,0.25806451612903225,0.40414507772020725,0.12060544946645356
ORD0098,2026-07-31,Central,Van,7.5,2.0,25,60,84.0,142.83,0,0.14452994312479092,0.03686635944700461,0.3471502590673575,0.08184994352543465
ORD0099,2026-07-18,North,Truck,8.6,20.0,50,94,114.0,307.29,0,0.17397122783539648,0.7004608294930875,0.5025906735751295,0.4282483406482596
ORD0100,2026-07-26,North,Van,13.2,1.0,25,65,48.0,196.17,1,0.2970893275342924,0.0,0.16062176165803108,0.1941987852044537
ORD0101,2026-07-12,East,Truck,10.1,5.0,50,84,106.0,186.69,0,0.2141184342589495,0.14746543778801843,0.46113989637305697,0.17423127453484177
ORD0102,2026-07-02,South,Van,39.4625,9.0,25,138,150.0,398.6,0,1.0,0.29493087557603687,0.689119170984456,0.6205725388805662
ORD0103,2026-07-10,Central,Van,9.2,17.0,25,80,55.0,277.47,1,0.19003011040481768,0.5898617511520737,0.19689119170984457,0.36543914569384733
ORD0104,2026-07-30,West,Mini Truck,16.9,9.0,15,76,104.0,329.05,0,0.39611910337905654,0.29493087557603687,0.45077720207253885,0.4740809389785081
ORD0105,2026-07-04,South,Mini Truck,28.2,11.0,15,147,181.0,430.32,0,0.6985613917698227,0.3686635944700461,0.8497409326424871,0.687383661078888
ORD0106,2026-07-14,West,Mini Truck,18.8,15.0,15,120,107.0,434.7,1,0.44697223151555704,0.5161290322580645,0.46632124352331605,0.696609156514848
ORD0107,2026-07-31,East,Van,26.4,6.0,25,130,147.0,377.41,0,0.650384744061559,0.18433179723502305,0.6735751295336787,0.5759405187234906
ORD0108,2026-07-16,East,Van,14.9,3.0,25,81,109.0,255.66,0,0.3425894948143192,0.07373271889400922,0.47668393782383417,0.31950123348875903
ORD0109,2026-07-15,North,Van,13.6,17.0,25,95,121.0,316.23,0,0.3077952492472399,0.5898617511520737,0.538860103626943,0.4470784614696025
ORD0110,2026-07-08,Central,Truck,7.5,5.0,50,63,81.0,145.33,0,0.14452994312479092,0.14746543778801843,0.3316062176165803,0.08711563726742091
ORD0111,2026-07-14,West,Van,14.2,12.0,25,96,72.0,288.14,1,0.3238541318166611,0.4055299539170507,0.2849740932642487,0.38791312658464466
ORD0112,2026-07-23,South,Mini Truck,21.9,18.0,15,143,165.0,426.38,0,0.5299431247908999,0.6267281105990783,0.7668393782383419,0.6790849277415175
ORD0113,2026-07-28,East,Van,12.4,28.125,25,100,107.0,271.55,0,0.2756774841083975,1.0,0.46632124352331605,0.35296998291282383
ORD0114,2026-07-25,North,Mini Truck,23.2,11.0,15,114,140.0,422.83,0,0.5647373703579792,0.3686635944700461,0.6373056994818653,0.6716076426278972
ORD0115,2026-07-30,North,Truck,19.4,9.0,50,106,121.0,337.76,0,0.4630311140849782,0.29493087557603687,0.538860103626943,0.49242661597558823
ORD0116,2026-07-08,West,Mini Truck,14.3,2.0,15,74,84.0,205.07,0,0.326530612244898,0.03686635944700461,0.3471502590673575,0.21294465492592485
ORD0117,2026-07-21,East,Van,9.7,12.0,25,95,112.0,207.75,0,0.203412512546002,0.4055299539170507,0.49222797927461137,0.21858947861733413
ORD0118,2026-07-16,Central,Van,3.9,3.0,25,40,44.0,134.95,0,0.04817664770826363,0.07373271889400922,0.13989637305699482,0.06525247685069387
ORD0119,2026-07-13,East,Truck,22.5,3.0,50,119,132.0,305.83,0,0.5460020073603212,0.07373271889400922,0.5958549222797928,0.42517317550293954
ORD0120,2026-07-18,West,Van,4.1,1.0,25,23,22.0,118.11,1,0.05352960856473736,0.0,0.025906735751295335,0.02978276380467436
ORD0121,2026-07-15,West,Van,30.5,8.0,25,155,150.0,480.12,1,0.7601204416192707,0.25806451612903225,0.689119170984456,0.7922762804192545
ORD0122,2026-07-21,East,Mini Truck,8.1,8.0,15,71,86.0,175.32,0,0.16058882569421212,0.25806451612903225,0.35751295336787564,0.1502828993962882
ORD0123,2026-07-24,West,Truck,33.3,11.0,50,176,182.0,542.87,0,0.8350618936099029,0.3686635944700461,0.8549222797927462,0.9244451933431099
ORD0124,2026-07-26,East,Van,13.8,9.0,25,93,100.0,231.66,0,0.3131482101037137,0.29493087557603687,0.43005181347150256,0.26895057356569085
ORD0125,2026-07-25,South,Van,16.3,5.0,25,92,106.0,288.01,0,0.38006022080963536,0.14746543778801843,0.46113989637305697,0.3876393105100614
ORD0126,2026-07-28,East,Van,5.6,14.0,25,65,45.0,205.18,0,0.09367681498829039,0.4792626728110599,0.14507772020725387,0.21317634545057226
ORD0127,2026-07-28,East,Truck,5.6,3.0,50,34,17.0,137.23,1,0.09367681498829039,0.07373271889400922,0.0,0.07005478954338534
ORD0128,2026-07-28,West,Van,18.0,5.0,25,92,99.0,271.55,0,0.4255603880896621,0.14746543778801843,0.42487046632124353,0.35296998291282383
ORD0129,2026-07-13,West,Van,5.9,5.0,25,52,65.0,132.37,0,0.10170625627300102,0.14746543778801843,0.24870466321243523,0.059818280908964065
ORD0130,2026-07-09,North,Van,6.1,19.0,25,70,87.0,282.67,0,0.10705921712947473,0.663594470046083,0.3626943005181347,0.37639178867717876
ORD0131,2026-07-29,North,Van,14.2,14.0,25,103,92.0,339.78,1,0.3238541318166611,0.4792626728110599,0.38860103626943004,0.4966812965191131
ORD0132,2026-07-15,South,Truck,38.4,4.0,50,182,209.0,558.35,0,0.9715623954499832,0.11059907834101383,0.9948186528497409,0.9570503689934889
ORD0133,2026-07-13,North,Van,14.8,13.0,25,109,116.0,334.1,0,0.33991301438608235,0.4423963133640553,0.5129533678756477,0.4847176403373204
ORD0134,2026-07-01,East,Mini Truck,8.0,10.0,15,74,70.0,232.15,1,0.15791234526597525,0.3317972350230415,0.27461139896373055,0.26998264953912016
ORD0135,2026-07-25,West,Van,12.9,18.0,25,102,103.0,309.72,0,0.28905988624958184,0.6267281105990783,0.44559585492227977,0.43336659496547025
ORD0136,2026-07-07,North,Van,13.7,8.0,25,92,112.0,268.59,0,0.31047172967547676,0.25806451612903225,0.49222797927461137,0.346735401522312
ORD0137,2026-07-09,North,Van,11.3,8.0,25,84,97.0,201.79,0,0.24623619939779195,0.25806451612903225,0.41450777202072536,0.20603606473643885
ORD0138,2026-07-24,South,Van,14.3,7.0,25,84,95.0,266.36,0,0.326530612244898,0.22119815668202766,0.40414507772020725,0.34203840270446034
ORD0139,2026-07-01,South,Mini Truck,21.9,8.0,15,117,133.0,395.39,0,0.5299431247908999,0.25806451612903225,0.6010362694300518,0.6138113881158557
ORD0140,2026-07-12,East,Truck,17.5,14.0,50,111,134.0,332.48,0,0.41217798594847777,0.4792626728110599,0.6062176165803109,0.4813054707925133
