Order_ID,Order_Date,Customer_Zone,Vehicle_Type,Distance_km,Packages,Vehicle_Capacity,Expected_Time_min,Actual_Time_min,Delivery_Cost,On_Time
ORD0043,2026-07-28,South,Truck,18.7,15,50,138,139,331.24,0
ORD0044,2026-07-28,East,Mini Truck,15.7,16,15,97,116,337.95,0
ORD0045,2026-07-16,North,Mini Truck,8.8,11,15,71,78,247.06,0
ORD0046,2026-07-15,South,Mini Truck,9.0,16,15,78,88,262.35,0
ORD0047,2026-07-30,South,Truck,21.7,8,50,114,160,374.57,0
ORD0048,2026-07-30,West,Van,22.3,4,25,119,117,341.27,1
ORD0049,2026-07-15,Central,Van,15.9,8,25,103,132,322.03,0
ORD0050,2026-07-30,East,Mini Truck,7.7,4,15,61,34,169.39,1
ORD0051,2026-07-19,North,Truck,9.2,3,50,55,36,171.76,1
ORD0052,2026-07-12,West,Van,13.0,3,25,92,85,251.16,1
ORD0053,2026-07-23,Central,Van,14.2,18,25,93,88,298.27,1
ORD0054,2026-07-20,West,Truck,18.3,19,50,116,130,401.13,0
ORD0055,2026-07-25,Central,Van,11.6,19,25,98,111,282.14,0
ORD0056,2026-07-03,Central,Van,21.4,5,25,113,122,373.75,0
ORD0057,2026-07-05,East,Truck,21.3,18,50,137,148,412.07,0
ORD0058,2026-07-19,Central,Truck,27.7,10,50,157,179,450.77,0
ORD0059,2026-07-07,West,Truck,13.4,6,50,81,102,262.11,0
ORD0060,2026-07-21,Central,Van,16.1,1,25,85,78,205.96,1
ORD0061,2026-07-09,East,Truck,12.2,5,50,71,76,215.14,0
ORD0062,2026-07-07,East,Van,7.7,9,25,68,75,227.49,0
ORD0063,2026-07-18,West,Van,40.6,12,25,199,225,635.89,0
ORD0064,2026-07-04,South,Truck,25.6,14,50,142,146,453.28,0
ORD0065,2026-07-25,South,Truck,21.0,2,50,109,120,285.26,0
ORD0066,2026-07-28,Central,Mini Truck,13.1,17,15,107,117,328.84,0
ORD0067,2026-07-14,North,Truck,7.3,14,50,56,54,244.43,1
ORD0068,2026-07-18,Central,Truck,23.2,13,50,135,139,412.58,0
ORD0069,2026-07-26,West,Van,12.0,9,25,79,89,283.58,0
ORD0070,2026-07-09,West,Van,16.9,15,25,118,127,330.71,0
ORD0071,2026-07-26,West,Van,9.2,15,25,79,94,242.65,0
ORD0072,2026-07-21,West,Van,15.3,11,25,107,104,242.48,1
ORD0073,2026-07-02,West,Mini Truck,9.5,16,15,78,82,288.0,0
ORD0074,2026-07-20,East,Van,9.8,17,25,70,75,282.45,0
ORD0075,2026-07-28,South,Mini Truck,15.2,4,15,93,114,219.35,0
ORD0076,2026-07-15,West,Truck,5.0,1,50,34,29,77.04,1
ORD0077,2026-07-28,North,Mini Truck,5.2,8,15,41,51,143.58,0
ORD0078,2026-07-07,North,Truck,8.3,17,50,80,91,276.44,0
ORD0079,2026-07-12,North,Truck,11.5,3,50,67,97,203.49,0
ORD0080,2026-07-29,North,Truck,21.8,20,50,145,145,416.48,1
ORD0081,2026-07-08,East,Van,11.9,15,25,97,98,262.65,0
ORD0082,2026-07-15,North,Truck,13.0,15,50,96,93,274.73,1
ORD0083,2026-07-03,West,Van,11.0,14,25,80,67,222.66,1
ORD0084,2026-07-14,Central,Van,16.1,14,25,108,142,302.02,0
ORD0085,2026-07-17,North,Truck,7.7,2,50,53,45,132.64,1
ORD0086,2026-07-04,East,Van,12.3,13,25,93,92,297.67,1
ORD0087,2026-07-18,East,Mini Truck,16.8,14,15,103,131,336.46,0
ORD0088,2026-07-08,North,Mini Truck,15.1,19,15,108,95,329.56,1
ORD0089,2026-07-04,Central,Mini Truck,13.3,7,15,87,106,314.34,0
ORD0090,2026-07-02,North,Van,13.4,3,25,85,76,217.2,1
ORD0091,2026-07-30,East,Van,17.8,15,25,121,148,387.78,0
ORD0092,2026-07-06,South,Mini Truck,41.7,14,15,209,200,679.93,1
ORD0093,2026-07-22,West,Van,8.0,11,25,65,50,177.75,1
ORD0094,2026-07-10,East,Mini Truck,42.4,15,15,216,229,655.65,0
ORD0095,2026-07-04,North,Mini Truck,7.8,13,15,64,84,213.66,0
ORD0096,2026-07-22,West,Mini Truck,3.3,18,15,56,62,187.63,0
ORD0097,2026-07-29,North,Van,9.4,6,25,76,80,217.68,0
ORD0098,2026-07-31,North,Van,16.2,3,25,91,119,251.83,0
ORD0099,2026-07-18,South,Mini Truck,36.7,19,15,195,241,597.0,0
ORD0100,2026-07-26,West,Van,7.3,15,25,79,95,228.4,0
ORD0101,2026-07-12,West,Van,17.7,5,25,106,109,288.07,0
ORD0102,2026-07-02,South,Truck,5.5,10,50,54,55,151.66,0
ORD0103,2026-07-10,East,Mini Truck,35.9,7,15,171,172,547.7,0
ORD0104,2026-07-30,North,Truck,25.9,17,50,147,162,494.01,0
ORD0105,2026-07-04,Central,Truck,9.8,7,50,76,63,223.19,1
ORD0106,2026-07-14,North,Van,28.4,12,25,159,181,458.39,0
ORD0107,2026-07-31,North,Truck,12.3,17,50,106,141,286.97,0
ORD0108,2026-07-16,East,Mini Truck,26.7,13,15,154,178,435.81,0
ORD0109,2026-07-15,North,Van,13.2,20,25,93,97,392.33,0
ORD0110,2026-07-08,South,Truck,13.6,4,50,81,98,265.65,0
ORD0111,2026-07-14,South,Mini Truck,9.9,10,15,67,97,212.8,0
ORD0112,2026-07-23,West,Truck,19.1,3,50,96,128,306.32,0
ORD0113,2026-07-28,Central,Truck,14.2,9,50,91,88,270.34,1
ORD0114,2026-07-25,North,Truck,18.0,13,50,118,136,363.6,0
ORD0115,2026-07-30,North,Van,4.7,18,25,61,66,232.99,0
ORD0116,2026-07-08,East,Van,27.3,15,25,136,161,499.69,0
ORD0117,2026-07-21,South,Mini Truck,31.3,4,15,151,172,433.34,0
ORD0118,2026-07-16,Central,Mini Truck,14.2,15,15,119,98,318.02,1
ORD0119,2026-07-13,West,Mini Truck,40.0,2,15,180,194,503.29,0
ORD0120,2026-07-18,South,Mini Truck,34.6,15,15,182,202,528.77,0
