Order_ID,Zone,Vehicle_Type,Distance_km,Packages,Vehicle_Capacity,Traffic_Level,Expected_Time_min,Actual_Time_min,Delivery_Cost,On_Time,Delay_min
ORD1031,East,Truck,99.7,3,50,Low,118.3,136.4,713.02,0,18.10000000000001
ORD1032,East,Bike,107.9,26,10,Low,153.3,167.6,912.46,0,14.299999999999983
ORD1033,East,Van,19.4,29,25,Low,77.3,77.3,485.1,1,0.0
ORD1034,South,Van,67.8,5,25,Medium,100.0,106.1,488.25,0,6.099999999999994
ORD1035,West,Truck,15.7,15,50,Medium,65.1,69.6,365.84,1,4.5
ORD1036,North,Van,81.7,5,25,Medium,112.5,119.4,538.02,0,6.900000000000006
ORD1037,South,Van,35.9,20,25,Medium,89.3,104.6,455.6,0,15.299999999999997
ORD1038,North,Truck,80.2,32,50,Medium,143.6,143.6,862.51,1,0.0
ORD1039,South,Van,88.1,3,25,High,125.9,133.8,633.25,0,7.900000000000006
ORD1040,West,Truck,92.9,14,50,High,143.4,165.5,839.31,0,22.099999999999994
ORD1041,South,Van,15.6,34,25,Low,79.8,79.8,458.74,1,0.0
ORD1042,West,Bike,110.2,11,10,Low,137.4,157.7,755.79,0,20.299999999999983
ORD1043,South,Truck,29.9,5,50,Low,57.9,64.5,334.06,0,6.600000000000001
ORD1044,East,Van,7.4,17,25,Low,52.1,62.0,328.09,0,9.899999999999999
ORD1045,South,Bike,67.9,18,10,Medium,115.7,115.7,580.49,1,0.0
ORD1046,South,Bike,46.4,23,10,Medium,102.4,112.1,454.2,0,9.699999999999989
ORD1047,West,Van,100.1,11,25,Low,128.3,145.8,772.01,0,17.5
ORD1048,West,Van,97.6,33,25,Medium,160.4,172.0,903.34,0,11.599999999999994
ORD1049,South,Truck,40.1,18,50,Medium,90.7,96.3,521.83,0,5.599999999999994
ORD1050,West,Van,114.5,10,25,Low,140.0,151.9,767.96,0,11.900000000000006
ORD1051,South,Van,37.0,33,25,High,115.9,121.9,586.5,0,6.0
ORD1052,East,Van,63.3,32,25,Low,120.4,123.4,752.14,1,3.0
ORD1053,West,Truck,32.9,17,50,High,93.0,103.9,487.46,0,10.900000000000006
ORD1054,South,Truck,112.5,1,50,Low,127.4,140.1,775.5,0,12.699999999999989
ORD1055,East,Truck,22.3,21,50,High,88.3,107.3,487.63,0,19.0
ORD1056,South,Truck,8.3,19,50,High,73.3,77.9,430.38,1,4.6000000000000085
ORD1057,North,Truck,53.9,6,50,High,98.7,109.8,492.28,0,11.099999999999994
ORD1058,North,Truck,119.1,22,50,High,176.6,205.0,935.63,0,28.400000000000006
ORD1059,South,Van,107.3,29,25,Medium,164.4,169.2,976.31,1,4.799999999999983
ORD1060,West,Van,90.6,4,25,Medium,119.3,123.5,615.52,1,4.200000000000003
ORD1061,North,Truck,107.2,25,50,Medium,159.5,170.9,991.45,0,11.400000000000006
ORD1062,South,Truck,107.5,5,50,Low,127.8,143.7,787.42,0,15.899999999999991
ORD1063,East,Truck,63.7,26,50,Medium,121.5,125.6,730.65,1,4.099999999999994
ORD1064,North,Truck,40.0,15,50,Medium,87.0,100.3,525.21,0,13.299999999999997
ORD1065,East,Truck,93.3,1,50,High,128.2,152.2,732.45,0,24.0
ORD1066,South,Truck,80.4,33,50,Medium,145.0,154.9,957.77,0,9.900000000000006
ORD1067,West,Truck,46.7,6,50,Medium,82.2,90.1,469.27,0,7.8999999999999915
ORD1068,East,Van,14.1,21,25,Medium,70.9,91.2,387.93,0,20.299999999999997
ORD1069,East,Van,90.4,7,25,Low,114.8,123.4,690.75,0,8.600000000000009
ORD1070,North,Van,33.7,32,25,Low,93.7,93.7,553.64,1,0.0
ORD1071,South,Van,112.6,26,25,Medium,165.5,186.7,951.18,0,21.19999999999999
ORD1072,West,Van,31.2,28,25,Medium,94.7,95.5,533.33,1,0.7999999999999972
ORD1073,North,Bike,17.4,15,10,Low,58.7,63.5,306.47,1,4.799999999999997
ORD1074,West,Van,100.2,16,25,Medium,142.4,161.6,755.87,0,19.19999999999999
ORD1075,South,Van,20.9,22,25,Medium,78.2,78.2,371.05,1,0.0
ORD1076,East,Van,24.0,27,25,Medium,87.0,87.0,415.25,1,0.0
ORD1077,East,Van,73.1,29,25,Medium,133.6,133.6,722.01,1,0.0
ORD1078,South,Truck,105.3,1,50,Medium,129.0,133.4,710.51,1,4.400000000000006
ORD1079,South,Truck,26.0,23,50,Low,76.0,83.1,501.94,0,7.099999999999994
ORD1080,East,Truck,39.3,4,50,High,83.2,98.9,478.16,0,15.700000000000003
