Order_ID,Order_Date,Customer_Zone,Vehicle_Type,Distance_km,Packages,Vehicle_Capacity,Expected_Time_min,Actual_Time_min,Delivery_Cost,On_Time
ORD0027,2026-07-06,Central,Truck,17.3,8.0,50,85,86.0,295.48,0
ORD0028,2026-07-02,South,Van,12.6,17.0,25,102,,307.43,0
ORD0029,2026-07-28,East,Mini Truck,36.6,12.0,15,201,218.0,578.87,0
ORD0030,2026-07-21,North,Van,33.5,19.0,25,178,161.0,565.98,1
ORD0031,2026-07-01,South,Van,17.7,10.0,25,128,132.0,304.75,0
ORD0032,2026-07-12,South,Truck,4.8,9.0,50,54,65.0,190.97,0
ORD0033,2026-07-26,West,Van,20.7,5.0,25,91,98.0,327.51,0
ORD0034,2026-07-22,Central,Van,6.3,6.0,25,51,50.0,169.15,1
ORD0035,2026-07-29,East,Truck,19.2,20.0,50,138,162.0,419.18,0
ORD0036,2026-07-12,North,Truck,3.0,2.0,50,47,41.0,103.97,1
ORD0037,2026-07-25,West,Van,9.0,13.0,25,81,98.0,242.08,0
ORD0038,2026-07-17,Central,Truck,10.9,6.0,50,83,74.0,247.56,1
ORD0039,2026-07-27,West,Truck,10.2,5.0,50,59,103.0,211.18,0
ORD0040,2026-07-27,Central,Truck,23.4,1.0,50,109,119.0,363.37,0
ORD0041,2026-07-31,Central, van ,5.4,6.0,25,38,41.0,169.42,0
ORD0042,2026-07-10,East,Truck,2.1,6.0,50,32,53.0,166.62,0
ORD0043,2026-07-28,Central,Mini Truck,25.2,16.0,15,151,159.0,463.64,0
ORD0044,2026-07-28,West,Truck,10.6,4.0,50,69,97.0,222.15,0
ORD0045,2026-07-16,Central,Mini Truck,15.4,11.0,15,104,119.0,333.34,0
ORD0046,2026-07-15,East,Van,16.1,9.0,25,91,100.0,303.79,0
ORD0047,2026-07-30,East,Van,33.3,3.0,25,150,164.0,456.65,0
ORD0048,2026-07-30,West,Truck,22.2,19.0,50,141,169.0,423.55,0
ORD0049,2026-07-15,South,Truck,17.8,8.0,50,99,113.0,304.99,0
ORD0050,2026-07-30,South,Mini Truck,5.1,5.0,15,56,68.0,122.44,0
ORD0051,2026-07-19,Central,Van,10.3,4.0,25,62,78.0,210.55,0
ORD0052,2026-07-12,North,Truck,13.6,6.0,50,79,90.0,238.46,0
ORD0053,2026-07-23,Central,TRUCK,6.1,2.0,50,49,63.0,145.07,0
ORD0054,2026-07-20,West,Mini Truck,15.7,20.0,15,112,121.0,359.43,0
ORD0055,2026-07-25,West,Van,11.7,11.0,25,75,83.0,260.36,0
ORD0056,2026-07-03,West,Mini Truck,11.9,4.0,15,65,60.0,235.7,1
ORD0057,2026-07-05,West,Truck,36.4,15.0,50,193,215.0,568.25,0
ORD0058,2026-07-19,West,Van,7.9,6.0,25,50,35.0,201.77,1
ORD0059,2026-07-07,East,Mini Truck,6.1,17.0,15,81,92.0,269.38,0
ORD0060,2026-07-21,South,Truck,29.7,6.0,50,142,154.0,455.98,0
ORD0061,2026-07-09,West,Mini Truck,3.7,19.0,15,69,80.0,193.85,0
ORD0062,2026-07-07,North,Van,18.4,2.0,25,91,89.0,272.42,1
ORD0063,2026-07-18,North,Truck,20.3,15.0,50,118,103.0,382.39,1
ORD0064,2026-07-04,North,Truck,-15.0,11.0,50,76,80.0,217.73,0
ORD0065,2026-07-25,North,Mini Truck,2.7,8.0,15,50,42.0,110.62,1
ORD0066,2026-07-28,East,Van,28.4,19.0,25,162,154.0,513.66,1
ORD0067,2026-07-14,North,Van,11.0,13.0,25,84,103.0,259.47,0
ORD0068,2026-07-18,West,Van,11.1,12.0,25,88,118.0,264.94,0
ORD0069,2026-07-26,Central,Van,12.4,5.0,25,82,81.0,263.46,1
ORD0070,2026-07-09,North,Truck,21.6,6.0,50,114,126.0,344.29,0
ORD0071,2026-07-26,East,Van,6.5,4.0,25,48,51.0,127.36,0
ORD0072,2026-07-21,East,Van,8.4,19.0,25,84,83.0,259.83,1
ORD0073,2026-07-02,North,Mini Truck,7.0,20.0,15,79,95.0,278.26,0
ORD0074,2026-07-20,Central,Mini Truck,29.6,1.0,15,140,168.0,433.12,0
ORD0075,2026-07-28,North,Van,8.4,20.0,25,77,74.0,288.77,1
ORD0076,2026-07-15,East,Van,12.1,17.0,25,97,107.0,286.58,0
ORD0077,2026-07-28,South,Truck,9.0,12.0,50,69,94.0,253.8,0
ORD0078,2026-07-07,West,Van,17.4,15.0,25,119,139.0,-100.0,0
ORD0079,2026-07-12,East,Van,6.7,1.0,25,42,60.0,124.01,0
ORD0080,2026-07-29,North,Van,7.8,14.0,25,68,94.0,231.56,0
ORD0081,2026-07-08,West,Van,5.4,6.0,25,53,78.0,206.31,0
ORD0082,2026-07-15,North,Mini Truck,34.2,5.0,15,163,193.0,476.9,0
ORD0083,2026-07-03,North,Van,4.9,11.0,25,72,81.0,137.17,0
ORD0084,2026-07-14,South,Truck,33.5,4.0,50,147,159.0,515.57,0
ORD0085,2026-07-17,West,Truck,4.2,13.0,50,58,66.0,211.82,0
ORD0086,2026-07-04,West,Van,14.4,11.0,25,102,105.0,282.38,0
ORD0087,2026-07-18,South,Van,24.0,3.0,25,115,103.0,358.18,1
ORD0088,2026-07-08,East,Van,12.3,1.0,25,63,69.0,177.98,0
ORD0089,2026-07-04,North,Truck,31.0,6.0,50,146,1500.0,465.22,0
ORD0090,2026-07-02,Central,Van,8.9,18.0,25,73,73.0,298.95,1
ORD0091,2026-07-30,North,Van,29.6,10.0,25,163,176.0,456.63,0
ORD0092,2026-07-06,North,Truck,15.1,5.0,50,85,93.0,288.13,0
ORD0093,2026-07-22,East,Van,9.7,10.0,25,71,97.0,242.99,0
ORD0094,2026-07-10,North,Van,14.6,12.0,25,82,87.0,316.65,0
ORD0095,2026-07-04,South,Van,21.2,2.0,25,96,126.0,309.29,0
ORD0096,2026-07-22,South,Van,5.4,13.0,25,72,44.0,188.93,1
ORD0097,2026-07-29,West,Mini Truck,8.7,8.0,15,69,95.0,161.23,0
ORD0098,2026-07-31,Central,Van,7.5,2.0,25,60,84.0,142.83,0
ORD0099,2026-07-18,North,Truck,8.6,20.0,50,94,114.0,307.29,0
ORD0100,2026-07-26,North,Van,13.2,1.0,25,65,48.0,196.17,1
ORD0101,2026-07-12,East,Truck,10.1,5.0,50,84,106.0,186.69,0
ORD0102,2026-07-02,South,Van,420.0,9.0,25,138,150.0,398.6,0
ORD0103,2026-07-10,Central,Van,9.2,17.0,25,80,55.0,277.47,1
ORD0104,2026-07-30,West,Mini Truck,16.9,9.0,15,76,104.0,329.05,0
ORD0105,2026-07-04,South,Mini Truck,28.2,11.0,15,147,181.0,430.32,0
ORD0106,2026-07-14,West,Mini Truck,18.8,15.0,15,120,107.0,434.7,1
ORD0107,2026-07-31,East,Van,26.4,6.0,25,130,147.0,377.41,0
ORD0108,2026-07-16,East,Van,14.9,3.0,25,81,109.0,255.66,0
ORD0109,2026-07-15,North,Van,13.6,17.0,25,95,121.0,316.23,0
ORD0110,2026-07-08,Central,Truck,7.5,5.0,50,63,81.0,145.33,0
ORD0111,2026-07-14,West,Van,14.2,12.0,25,96,72.0,288.14,1
ORD0112,2026-07-23,South,Mini Truck,21.9,18.0,15,143,165.0,426.38,0
ORD0113,2026-07-28,East,Van,12.4,200.0,25,100,107.0,271.55,0
ORD0114,2026-07-25,North,Mini Truck,23.2,11.0,15,114,140.0,422.83,0
ORD0115,2026-07-30,North,Truck,19.4,9.0,50,106,121.0,337.76,0
ORD0116,2026-07-08,West,Mini Truck,14.3,2.0,15,74,84.0,205.07,0
ORD0117,2026-07-21,East,Van,9.7,12.0,25,95,112.0,207.75,0
ORD0118,2026-07-16,Central,Van,3.9,3.0,25,40,44.0,134.95,0
ORD0119,2026-07-13,East,Truck,22.5,3.0,50,119,132.0,305.83,0
ORD0120,2026-07-18,West,Van,4.1,1.0,25,23,22.0,118.11,1
ORD0121,2026-07-15,West,Van,30.5,8.0,25,155,150.0,480.12,1
ORD0122,2026-07-21,East,Mini Truck,8.1,8.0,15,71,86.0,175.32,0
ORD0123,2026-07-24,West,Truck,33.3,11.0,50,176,182.0,542.87,0
ORD0124,2026-07-26,East,Van,13.8,9.0,25,93,100.0,231.66,0
ORD0125,2026-07-25,South,Van,16.3,5.0,25,92,106.0,288.01,0
ORD0126,2026-07-28,East,Van,5.6,14.0,25,65,45.0,205.18,3
ORD0127,2026-07-28,East,Truck,5.6,3.0,50,34,17.0,137.23,1
ORD0128,2026-07-28,West,Van,18.0,5.0,25,92,99.0,271.55,0
ORD0129,2026-07-13,West,Van,5.9,5.0,25,52,65.0,132.37,0
ORD0130,2026-07-09,North,Van,6.1,19.0,25,70,87.0,282.67,0
ORD0131,2026-07-29,North,Van,14.2,14.0,25,103,92.0,339.78,1
ORD0132,2026-07-15,South,Truck,38.4,4.0,50,182,209.0,558.35,0
ORD0133,2026-07-13,North,Van,14.8,13.0,25,109,116.0,334.1,0
ORD0134,2026-07-01,East,Mini Truck,8.0,10.0,15,74,70.0,232.15,1
ORD0135,2026-07-25,West,Van,12.9,18.0,25,102,103.0,309.72,0
ORD0136,2026-07-07,North,Van,13.7,8.0,25,92,112.0,268.59,0
ORD0137,2026-07-09,North,Van,11.3,8.0,25,84,97.0,201.79,0
ORD0138,2026-07-24,South,Van,14.3,7.0,25,84,95.0,266.36,0
ORD0139,2026-07-01,South,Mini Truck,21.9,8.0,15,117,133.0,395.39,0
ORD0140,2026-07-12,East,Truck,17.5,14.0,50,111,134.0,332.48,0
ORD0021,2026-07-22,East,Truck,4.7,15.0,50,60,71.0,235.86,0
